2026-03-08 12:51:08,822 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:256 | proto=tcp | dur=-s
2026-03-08 12:51:08,824 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:587 | proto=tcp | dur=-s
2026-03-08 12:51:08,826 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:10001 | proto=tcp | dur=-s
2026-03-08 12:51:08,827 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:2046 | proto=tcp | dur=-s
2026-03-08 12:51:08,828 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:10628 | proto=tcp | dur=-s
2026-03-08 12:51:08,829 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:9593 | proto=tcp | dur=-s
2026-03-08 12:51:08,830 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:8080 | proto=tcp | dur=-s
2026-03-08 12:51:08,831 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:199 | proto=tcp | dur=-s
2026-03-08 12:51:08,832 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:21 | proto=tcp | dur=-s
2026-03-08 12:51:08,832 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:5900 | proto=tcp | dur=-s
2026-03-08 12:51:08,833 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:135 | proto=tcp | dur=-s
2026-03-08 12:51:08,835 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:8649 | proto=tcp | dur=-s
2026-03-08 12:51:08,836 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:5815 | proto=tcp | dur=-s
2026-03-08 12:51:08,837 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1075 | proto=tcp | dur=-s
2026-03-08 12:51:08,839 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1086 | proto=tcp | dur=-s
2026-03-08 12:51:08,840 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:9090 | proto=tcp | dur=-s
2026-03-08 12:51:08,840 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:33 | proto=tcp | dur=-s
2026-03-08 12:51:08,841 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:1084 | proto=tcp | dur=-s
2026-03-08 12:51:08,841 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:2381 | proto=tcp | dur=-s
2026-03-08 12:51:08,842 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:1132 | proto=tcp | dur=-s
2026-03-08 12:51:08,842 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:64623 | proto=tcp | dur=-s
2026-03-08 12:51:08,842 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:2022 | proto=tcp | dur=-s
2026-03-08 12:51:08,844 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:1805 | proto=tcp | dur=-s
2026-03-08 12:51:08,844 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:9111 | proto=tcp | dur=-s
2026-03-08 12:51:08,845 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:8193 | proto=tcp | dur=-s
2026-03-08 12:51:08,846 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:5190 | proto=tcp | dur=-s
2026-03-08 12:51:08,847 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:6510 | proto=tcp | dur=-s
2026-03-08 12:51:08,848 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:1900 | proto=tcp | dur=-s
2026-03-08 12:51:08,849 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:9009 | proto=tcp | dur=-s
2026-03-08 12:51:08,850 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:1076 | proto=tcp | dur=-s
2026-03-08 12:51:08,851 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:3283 | proto=tcp | dur=-s
2026-03-08 12:51:08,852 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:5633 | proto=tcp | dur=-s
2026-03-08 12:51:08,853 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:5222 | proto=tcp | dur=-s
2026-03-08 12:51:08,854 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:1277 | proto=tcp | dur=-s
2026-03-08 12:51:08,855 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:9081 | proto=tcp | dur=-s
2026-03-08 12:51:08,856 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:5087 | proto=tcp | dur=-s
2026-03-08 12:51:08,857 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:20031 | proto=tcp | dur=-s
