14.888929	7785	2315498	tcp
9.572590	15024	0	udp
0.192825	2506	8295	tcp
9.627892	15024	0	udp
0.929305	4862	949286	tcp
0.414664	673	598526	tcp
19.489003	17528	0	udp
0.485153	975	6118	tcp
0.084716	944	5394	tcp
18.442721	4643	748963	tcp
18.934323	17528	0	udp
0.128126	2606	13145	tcp
6.010816	6763	367807	tcp
37.343412	3257	13093235	tcp
0.658955	2477	30816	tcp
0.525263	2374	5101	tcp
19.052177	17528	0	udp
36.515379	5039	117364	tcp
29.376077	2531	5307	tcp
18.328714	2914	86904	tcp
22.093457	3902	9231	tcp
19.029690	17528	0	udp
14.730040	31879	1072350	tcp
18.976515	17528	0	udp
30.036811	11000	101786	tcp
42.008348	301	298	tcp
19.067419	17528	0	udp
2.874391	3064	90792	tcp
0.741635	3153	7853	tcp
0.137493	2097	3734	tcp
0.218573	3221	6691	tcp
19.223191	17528	0	udp
18.994216	17528	0	udp
19.031562	17528	0	udp
0.227866	2588	10621	tcp
0.069057	663	0	tcp
0.404263	2375	1528313	tcp
19.069468	17528	0	udp
18.982676	17528	0	udp
0.151639	788	6619	tcp
19.029571	17528	0	udp
27.910634	1259	26294	tcp
0.241118	2510	7499	tcp
0.174240	2344	5083	tcp
19.002539	17528	0	udp
19.009934	17528	0	udp
21.332880	318	216	tcp
0.547845	2793	6515	tcp
18.973833	17528	0	udp
10.878972	20060	8357	tcp
19.343785	17528	0	udp
9.500679	15024	0	udp
0.343350	3064	10909	tcp
3.227582	2777	165130	tcp
0.203982	2553	5000	tcp
0.571657	2012	1187	tcp
0.323920	2662	5457	tcp
0.216743	2542	8877	tcp
9.400471	15024	0	udp
